"meta_starttime";"meta_endtime";"meta_today";"meta_deviceid";"Introduction
Mobile phones are an integral part of student life, yet excessive use has been linked to poor sleep quality, which can affect health and academic performance. This study investigates the relationship between daily mobile phone usage and sleep quality among students, aiming to determine whether higher self reported phone use is associated with lower sleep quality scores.

Do you agree to participate in this survey?";"Age (years)";"Gender";"Current level of study";"On average, how many hours per day do you use your smartphone?";"What type of application do you use most frequently on your smartphone?";"On average, how many hours do you sleep per night?";"On average, how long does it take you to fall asleep at night?(minutes)";"Overall, how would you rate your sleep quality?";"Thank you";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2026-01-19T20:20:49.501+08:00";"2026-01-19T20:21:20.194+08:00";"2026-01-19";"ee.kobotoolbox.org:U3oPgTmsMn72toug";"Yes";"31";"Male";"Diploma";"4";"Social Media (Facebook, Instagram, etc.)";"8";"16–30 minutes";"Fairly good";"";"651460149";"c5a5efdb-51de-4983-8caa-1f2551a9d53e";"2026-01-19T12:21:20";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"1"
"2026-01-19T15:27:14.314+03:00";"2026-01-19T15:28:16.292+03:00";"2026-01-19";"ee.kobotoolbox.org:gRgRqXtVcGAwEeK4";"Yes";"22";"Male";"Bachelor’s Degree";"4";"Messaging (WhatsApp, Telegram, etc.)";"5";"16–30 minutes";"Fairly bad";"";"651465876";"661e2761-2f5c-477c-94a5-be708ae76a36";"2026-01-19T12:28:16";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"2"
"2026-01-19T15:34:44.854+03:00";"2026-01-19T15:38:20.801+03:00";"2026-01-19";"ee.kobotoolbox.org:pAnuVtu2R9Y5ceiH";"Yes";"32";"Female";"Master";"5";"Social Media (Facebook, Instagram, etc.)";"7";"More than 60 minutes";"Fairly bad";"";"651471583";"9cc6058d-dcbb-4be2-8678-ba12b1aa2f82";"2026-01-19T12:36:31";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"3"
"2026-01-19T15:51:32.664+03:00";"2026-01-19T15:53:13.274+03:00";"2026-01-19";"ee.kobotoolbox.org:Ei9CrxEoepN8AAex";"Yes";"25";"Female";"Bachelor’s Degree";"16";"Social Media (Facebook, Instagram, etc.)";"8";"More than 60 minutes";"Very bad";"";"651484974";"caff3d0f-1a06-4e89-b8ea-698f3be896d5";"2026-01-19T12:53:14";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"4"
"2026-01-19T20:21:20.213+08:00";"2026-01-19T20:54:26.040+08:00";"2026-01-19";"ee.kobotoolbox.org:U3oPgTmsMn72toug";"Yes";"25";"Male";"Bachelor’s Degree";"6";"Messaging (WhatsApp, Telegram, etc.)";"5";"31–60 minutes";"Very good";"";"651485826";"956ed6e3-167a-4737-a2aa-d18d7bec7df5";"2026-01-19T12:54:26";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"5"
"2026-01-19T21:57:07.000+08:00";"2026-01-19T21:58:10.855+08:00";"2026-01-19";"ee.kobotoolbox.org:CSauk6lAZiMH6gGJ";"Yes";"22";"Male";"Bachelor’s Degree";"8";"Video streaming (YouTube, Netflix, etc.)";"9";"16–30 minutes";"Fairly good";"";"651538297";"39351c9e-611f-4b7a-83bc-429958f95929";"2026-01-19T13:58:12";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"6"
"2026-01-19T17:39:44.920+03:00";"2026-01-19T17:42:04.088+03:00";"2026-01-19";"ee.kobotoolbox.org:5MwZOiQ5dLsVRneT";"Yes";"22";"Female";"Bachelor’s Degree";"6";"Social Media (Facebook, Instagram, etc.)";"7";"Less than 15 minutes";"Fairly good";"";"651579047";"32e9c728-746f-451c-b097-8f51ea80ce0d";"2026-01-19T14:42:05";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"7"
"2026-01-19T20:42:27.407+03:00";"2026-01-19T20:43:34.709+03:00";"2026-01-19";"ee.kobotoolbox.org:r0WtsS1jpVNVJGxu";"Yes";"30";"Female";"Master";"10";"Social Media (Facebook, Instagram, etc.)";"5";"More than 60 minutes";"Fairly good";"";"651702006";"af467cda-6047-47e5-ac37-6d83b2107ef2";"2026-01-19T17:43:35";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"8"
"2026-01-19T20:48:48.542+03:00";"2026-01-19T20:52:19.898+03:00";"2026-01-19";"ee.kobotoolbox.org:MmbmVGcMpQkdd4a9";"Yes";"33";"Male";"Bachelor’s Degree";"10";"Social Media (Facebook, Instagram, etc.)";"7";"More than 60 minutes";"Fairly bad";"";"651706976";"343ffd30-0eb0-4d58-8d7a-5db8a6a0fa6c";"2026-01-19T17:52:22";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"9"
"2026-01-19T21:56:08.558+03:00";"2026-01-19T22:12:19.523+03:00";"2026-01-19";"ee.kobotoolbox.org:FTZqjJbvWqNYFspl";"Yes";"25";"Female";"Master";"5";"Messaging (WhatsApp, Telegram, etc.)";"7";"16–30 minutes";"Fairly good";"";"651717277";"aa5cc418-03c3-49d1-b2e4-2d1d0a267b23";"2026-01-19T18:12:43";"";"";"submitted_via_web";"";"vaFtssxYm8iTrkZe8pxp7f";"";"10"
